Season;Direction;Player;Age;Position;Nationality;From Club;To Club;Fee (raw);Fee Type;Fee (EUR);Market Value
2024/25;Arrival;Nathaniel Brown;21;Left-Back;Germany;1.FC Nuremberg;;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
2024/25;Arrival;Faride Alidou;22;Left Winger;Germany;1.FC Kï¿½ï;;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
2024/25;Arrival;Faride Alidou;23;Left Winger;Germany;Hellas Verona;;End of loan22.01.2025;loan_return;0.0;End of loan22.01.2025
2024/25;Arrival;Jessic Ngankam;23;Centre-Forward;Germany;1.FSV Mainz 05;;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
2024/25;Arrival;Marcel Wenig;20;Central Midfield;Germany;1.FC Nuremberg;;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
2024/25;Arrival;Antonio Foti;20;Attacking Midfield;Cyprus;Hannover 96;;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
2024/25;Arrival;Jï¿½ï¿½ï¿½ï¿½ï¿½ï¿;26;Centre-Back;Cameroon;Servette FC;;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
2024/25;Arrival;Simon Simoni;20;Goalkeeper;Albania;FC Ingolstadt;;End of loan14.01.2025;loan_return;0.0;End of loan14.01.2025
2024/25;Departure;Omar Marmoush;25;Centre-Forward;Egypt;;Man City;ýýý75.00m;transfer;75000000.0;ýýý75.00m
2024/25;Departure;Willian Pacho;22;Centre-Back;Ecuador;;Paris SG;ýýý40.00m;transfer;40000000.0;ýýý40.00m
2024/25;Departure;Kristijan Jakic;27;Defensive Midfield;Croatia;;FC Augsburg;ýýý5.00m;transfer;5000000.0;ýýý5.00m
2024/25;Departure;Jens Petter Hauge;25;Left Winger;Norway;;Bodï¿½ï¿½ï¿;ýýý3.50m;transfer;3500000.0;ýýý3.50m
2024/25;Departure;Philipp Max;30;Left-Back;Germany;;Panathinaikos;ýýý1.00m;transfer;1000000.0;ýýý1.00m
2024/25;Departure;Jessic Ngankam;23;Centre-Forward;Germany;;Hannover 96;Loan fee:ï¿½ï¿½ï;loan;250000.0;Loan fee:ï¿½ï¿½ï
2024/25;Departure;Antonio Foti;20;Attacking Midfield;Cyprus;;B. Dortmund II;ýýý150k;transfer;150000.0;ýýý150k
2024/25;Departure;Dario Gebuhr;21;Centre-Back;Germany;;Hansa Rostock;ýýý70k;transfer;70000.0;ýýý70k
2024/25;Departure;Sidney Raebiger;19;Central Midfield;Germany;;E. Braunschweig;ýýý70k;transfer;70000.0;ýýý70k
2024/25;Departure;Faride Alidou;23;Left Winger;Germany;;1.FC K'lautern;?;other;;?
2024/25;Departure;Aurï¿½ï¿½ï¿½ï;27;Right-Back;Portugal;;Stade Reims;loan transfer;loan;;loan transfer
2024/25;Departure;Paxten Aaronson;20;Attacking Midfield;United States;;FC Utrecht;loan transfer;loan;;loan transfer
2024/25;Departure;Hrvoje Smolcic;23;Centre-Back;Croatia;;LASK;loan transfer;loan;;loan transfer
2024/25;Departure;Faride Alidou;23;Left Winger;Germany;;Hellas Verona;loan transfer;loan;;loan transfer
2024/25;Departure;Nacho Ferri;19;Centre-Forward;Spain;;KV Kortrijk;loan transfer;loan;;loan transfer
2024/25;Departure;Elias Baum;18;Right-Back;Germany;;SV Elversberg;loan transfer;loan;;loan transfer
2024/25;Departure;Simon Simoni;19;Goalkeeper;Albania;;FC Ingolstadt;loan transfer;loan;;loan transfer
2024/25;Departure;Simon Simoni;20;Goalkeeper;Albania;;1.FC K'lautern;loan transfer;loan;;loan transfer
2024/25;Departure;Sebastian Rode;33;Central Midfield;Germany;;;-;undisclosed;;-
2024/25;Departure;Marcel Wenig;20;Central Midfield;Germany;;E. Frankfurt II;-;undisclosed;;-
2024/25;Departure;Makoto Hasebe;40;Defensive Midfield;Japan;;;-;undisclosed;;-
2024/25;Departure;Jï¿½ï¿½ï¿½ï¿½ï¿½ï¿;26;Centre-Back;Cameroon;;E. Frankfurt II;-;undisclosed;;-
2024/25;Departure;Harpreet Ghotra;21;Central Midfield;Germany;;E. Frankfurt II;-;undisclosed;;-
2024/25;Departure;Arthur Theate;24;Centre-Back;Belgium;;Stade Rennais;End of loan01.02.2025;loan_return;0.0;End of loan01.02.2025
2024/25;Departure;Hugo Ekitikï¿;22;Centre-Forward;France;;Paris SG;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
2024/25;Departure;Robin Koch;27;Centre-Back;Germany;;Leeds;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
2024/25;Departure;Donny van de Beek;27;Central Midfield;Netherlands;;Man Utd;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
2024/25;Departure;Sasa Kalajdzic;26;Centre-Forward;Austria;;Wolves;End of loan30.06.2024;loan_return;0.0;End of loan30.06.2024
2025/26;Arrival;Jonathan Burkardt;24;Centre-Forward;Germany;1.FSV Mainz 05;;ýýý21.00m;transfer;21000000.0;ýýý21.00m
2025/26;Arrival;Ritsu Doan;27;Right Winger;Japan;SC Freiburg;;ýýý21.00m;transfer;21000000.0;ýýý21.00m
2025/26;Arrival;Rasmus Kristensen;27;Right-Back;Denmark;Leeds;;ýýý6.00m;transfer;6000000.0;ýýý6.00m
